All 149 Modules Sorted by Line Count (Descending)
Module Name	Funcs	Lines	Edges
src.clotho.ergon	15	663	35
projects.autoresearch.train	33	631	10
cognition.sophia.reasoning_nodes	26	563	13
src.clotho.tool_bridge	20	500	27
cognition.morpheus.sweeper	17	405	18
src.lachesis.sympy_verifier	14	398	11
projects.autoresearch.prepare	17	390	12
src.lachesis.evaluator	12	337	7
src.architrave.model_registry	7	326	4
scripts.hermes_cli	8	302	15
src.lachesis.codebase_mapper	15	290	11
cognition.mnemosyne.meta_cognition	12	286	9
cognition.sophia.sophia	4	285	17
cognition.sophia.gnosis	16	282	16
cognition.sophia.hephaestus	25	280	29
cognition.mnemosyne.semantic_store	13	271	9
cognition.mnemosyne.temporal_store	10	270	10
src.lachesis.output_guard	7	222	5
src.clotho.bootstrap	12	217	13
src.architrave.gemini_client	3	204	5
cognition.mnemosyne.spatial_store	12	204	6
src.clotho.krisis	6	200	9
src.atropos.context_pruner	11	189	8
src.clotho.orchestrator	7	182	14
src.muscle.reranker	9	175	7
src.architrave.context_cache	13	172	8
cognition.mnemosyne.visual_store	10	171	11
cognition.mnemosyne.file_changelog	10	167	7
cognition.sophia.sprint_contract	7	163	9
src.architrave.gateway_client	18	162	12
cognition.sophia.sympy_verifier	4	161	3
tests.test_axis_stability	1	153	22
cognition.morpheus.scheduler	9	148	14
src.atropos.observability	10	140	12
src.muscle.local_runtime	7	140	8
src.clotho.agent_loader	15	138	6
tests.test_full_pipeline	3	133	10
cognition.mnemosyne.episodic_store	9	131	6
src.clotho.skill_loader	10	127	6
scripts.system_integrity_test	6	122	10
src.utils.sandbox	5	122	8
src.architrave.entity_extractor	7	119	6
src.architrave.opencode_store	6	117	4
cognition.mnemosyne.reflection_store	11	117	5
cognition.mnemosyne.tone_store	6	113	6
cognition.mnemosyne.rational_store	8	112	6
tests.test_phase_11_9_integrity	8	110	6
src.lachesis.snapshot_manager	8	109	7
cognition.mnemosyne.goal_store	7	105	6
cognition.mnemosyne.operational_store	6	103	6
cognition.mnemosyne.procedural_store	5	103	6
cognition.mnemosyne.session_log	6	100	4
src.lachesis.file_watchdog	6	94	8
cognition.morpheus.loader	7	89	7
tests.test_sovereign_truth_guard	6	89	10
cognition.sophia.router	5	87	5
scripts.model_health_audit	2	86	8
scripts.genai_manager	3	85	5
src.utils.logging_config	6	84	4
cognition.sophia.state_bus	9	84	7
cognition.morpheus.monitor	5	82	7
tests.test_vision_pipeline	7	82	11
src.atropos.token_budget	8	78	3
src.lachesis.self_tuner	6	77	6
tests.test_pruning_rules	4	77	6
tests.test_two_pass_verification	5	77	7
tests.test_tool_bridge	8	75	5
src.ankyra.anchor_generator	4	74	9
src.utils.security_utils	3	72	6
tests.test_temporal_validity	4	72	6
scripts.migrate_v1_to_v2	1	71	3
tests.test_axis11_logic	5	70	4
scripts.test_meta_cognition	1	69	4
tests.test_verification_gate	6	69	6
src.clotho.control_handoff	2	68	5
tests.test_hermes_bridge	2	68	5
scripts.benchmark_qwen0.5b	2	67	3
tests.test_hybrid_search_rrf	5	65	5
tests.test_vram_scheduler	5	64	5
tests.test_evaluator_grading	5	63	4
scripts.test_agent_identity	1	61	5
tests.test_event_log_recovery	5	60	5
src.utils.image_optimizer	1	59	3
tests.test_sandbox	9	58	4
tests.test_citation_guard	5	57	4
tests.test_failure_pruning	1	56	7
tests.test_failure_memory_unit	2	55	6
cognition.mnemosyne.memory_arbitrator	4	54	3
tests.test_failure_memory_integration	2	54	7
tests.test_router	4	52	3
tests.test_security_utils	6	52	4
scripts.check_schema_integrity	1	49	2
scripts.migrate_keys	1	49	5
tests.test_tool_validator	4	49	3
tests.test_langgraph_trace	1	48	4
scripts.token_counter	2	46	3
tests.stability_check_phase_11_18_1	4	46	5
tests.test_ankyra_v2	1	44	9
tests.test_gemini_context_cache	2	44	2
tests.test_phase_11_18_14	4	43	5
cognition.sophia.tool_validator	4	42	3
scripts.audit_gap_2	1	42	4
tests.test_reflection_quality	2	42	3
tests.test_mnemosyne_stores	5	41	6
src.clotho.mapper_bridge	2	40	6
src.tools.websearch	2	37	4
tests.test_entity_pipeline	4	37	3
scripts.verify_models	0	36	3
tests.test_context_hardening	3	36	6
cognition.morpheus.registry	2	34	2
scripts.test_timestamp_guard	1	34	2
tests.test_gliner2_pipeline	1	34	3
tests.test_sympy_verifier	4	33	3
scripts.migrate_meta_schema	1	32	2
cognition.mnemosyne.init	0	30	19
tests.test_agnostic_gateway	1	30	4
tests.diagnose_hang	1	28	5
src.clotho.activity	5	26	1
scripts.discover_id	0	26	3
tests.test_reranker	3	26	4
scripts.test_bridge_hardening	1	25	3
scripts.sovereign_audit	0	23	3
tests.test_muscle_runtime	2	23	4
cognition.sophia.init	0	22	13
tests.test_atropos_logic	2	22	3
tests.test_mnemosyne_sql	0	20	2
scripts.audit_capabilities	0	18	3
cognition.sophia.temperature_control	1	15	0
src.utils.ollama_utils	1	14	2
run_morpheus	0	14	0
run_watchdog_daemon	0	14	0
scripts.list_models	0	13	3
src.clotho.init	0	11	8
test_module	2	10	0
audit_module	2	10	1
cognition.morpheus.init	0	8	8
src.architrave.init	0	7	6
scratch.test_ast	1	7	3
src.atropos.init	0	6	5
src.lachesis.init	0	6	5
cognition.init	0	6	1
cognition.mnemosyne.base	0	6	1
src.muscle.init	0	5	3
stop_watchdog_daemon	0	5	0
src.ankyra.init	0	4	2
scripts.hide_morpheus	0	4	0
scripts.hide_watchdog	0	4	0
src.utils.init	0	1	0
scratch.debounce_test	0	1	0
